beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,100,187,97,2018-06-12 12:27:19.556286,
False,100,187,97,2018-06-12 12:27:19.572952,
False,100,185,97,2018-06-12 12:27:19.589628,
False,100,183,97,2018-06-12 12:27:19.606279,
False,100,180,97,2018-06-12 12:27:19.622953,
False,100,178,97,2018-06-12 12:27:19.639624,
False,100,176,97,2018-06-12 12:27:19.656290,
False,100,174,97,2018-06-12 12:27:19.672949,
False,100,172,97,2018-06-12 12:27:19.689622,
False,100,170,97,2018-06-12 12:27:19.706279,
False,100,168,97,2018-06-12 12:27:19.722965,
False,100,167,97,2018-06-12 12:27:19.739608,
False,100,165,97,2018-06-12 12:27:19.756282,
False,100,163,97,2018-06-12 12:27:19.772950,
False,100,160,97,2018-06-12 12:27:19.789607,
False,100,158,97,2018-06-12 12:27:19.806286,
False,100,157,97,2018-06-12 12:27:19.822948,
False,100,156,97,2018-06-12 12:27:19.839612,
False,100,158,97,2018-06-12 12:27:19.856280,
False,100,161,97,2018-06-12 12:27:19.872950,
False,100,166,97,2018-06-12 12:27:19.889619,
False,100,172,97,2018-06-12 12:27:19.906273,
False,100,179,97,2018-06-12 12:27:19.922964,
False,100,184,97,2018-06-12 12:27:19.939624,
False,100,189,97,2018-06-12 12:27:19.956288,
False,100,191,97,2018-06-12 12:27:19.972932,
False,100,192,97,2018-06-12 12:27:19.989611,
False,100,190,97,2018-06-12 12:27:20.006301,
True,100,187,97,2018-06-12 12:27:20.022950,
True,100,184,97,2018-06-12 12:27:20.039642,
False,100,181,97,2018-06-12 12:27:20.056292,
False,100,177,97,2018-06-12 12:27:20.072948,
False,100,175,97,2018-06-12 12:27:20.089641,
False,100,173,97,2018-06-12 12:27:20.106342,
False,100,172,97,2018-06-12 12:27:20.122933,
False,100,171,97,2018-06-12 12:27:20.139614,
False,100,170,97,2018-06-12 12:27:20.156264,
False,100,169,97,2018-06-12 12:27:20.172938,
False,100,168,97,2018-06-12 12:27:20.189615,
False,100,167,97,2018-06-12 12:27:20.206255,
False,100,165,97,2018-06-12 12:27:20.222928,
False,100,163,97,2018-06-12 12:27:20.239618,
False,100,161,97,2018-06-12 12:27:20.256270,
False,100,158,97,2018-06-12 12:27:20.272934,
False,100,155,97,2018-06-12 12:27:20.289603,
False,100,153,97,2018-06-12 12:27:20.306287,
False,100,151,97,2018-06-12 12:27:20.322969,
False,100,148,97,2018-06-12 12:27:20.339606,
False,100,147,97,2018-06-12 12:27:20.356274,
False,100,144,97,2018-06-12 12:27:20.372974,
False,100,142,97,2018-06-12 12:27:20.389593,
False,100,140,97,2018-06-12 12:27:20.406266,
False,100,139,97,2018-06-12 12:27:20.422941,
False,100,139,97,2018-06-12 12:27:20.439623,
False,100,141,97,2018-06-12 12:27:20.456316,
False,100,145,97,2018-06-12 12:27:20.472964,
False,100,151,97,2018-06-12 12:27:20.489582,
False,100,159,97,2018-06-12 12:27:20.506294,
False,100,166,97,2018-06-12 12:27:20.522972,
False,100,172,97,2018-06-12 12:27:20.539610,
False,100,176,97,2018-06-12 12:27:20.556266,
False,100,179,97,2018-06-12 12:27:20.572917,
False,100,180,97,2018-06-12 12:27:20.589602,
False,100,178,97,2018-06-12 12:27:20.606266,
True,100,175,97,2018-06-12 12:27:20.622927,
True,100,172,97,2018-06-12 12:27:20.639599,
False,100,168,97,2018-06-12 12:27:20.656290,
False,100,165,97,2018-06-12 12:27:20.672925,
False,100,161,97,2018-06-12 12:27:20.689646,
False,100,157,97,2018-06-12 12:27:20.706271,
False,100,155,97,2018-06-12 12:27:20.722924,
False,100,154,97,2018-06-12 12:27:20.739593,
False,100,153,97,2018-06-12 12:27:20.756329,
False,100,153,97,2018-06-12 12:27:20.772924,
False,100,153,97,2018-06-12 12:27:20.789627,
False,100,152,97,2018-06-12 12:27:20.806248,
False,100,152,97,2018-06-12 12:27:20.822926,
False,100,151,97,2018-06-12 12:27:20.839596,
False,100,150,97,2018-06-12 12:27:20.856260,
False,100,149,97,2018-06-12 12:27:20.872933,
False,100,148,97,2018-06-12 12:27:20.889605,
False,100,147,97,2018-06-12 12:27:20.906274,
False,100,146,97,2018-06-12 12:27:20.922927,
False,100,145,97,2018-06-12 12:27:20.939603,
False,100,143,97,2018-06-12 12:27:20.956256,
False,100,141,97,2018-06-12 12:27:20.972933,
False,100,140,97,2018-06-12 12:27:20.989579,
False,100,139,97,2018-06-12 12:27:21.006273,
False,100,139,97,2018-06-12 12:27:21.022961,
False,100,141,97,2018-06-12 12:27:21.039590,
False,100,144,97,2018-06-12 12:27:21.056280,
False,100,150,97,2018-06-12 12:27:21.072948,
False,100,157,97,2018-06-12 12:27:21.089604,
False,100,166,97,2018-06-12 12:27:21.106268,
False,100,172,97,2018-06-12 12:27:21.122938,
False,100,177,97,2018-06-12 12:27:21.139580,
False,100,181,97,2018-06-12 12:27:21.156254,
False,100,183,97,2018-06-12 12:27:21.172939,
False,100,183,97,2018-06-12 12:27:21.189586,
True,100,180,97,2018-06-12 12:27:21.206254,
True,100,178,97,2018-06-12 12:27:21.222933,
False,100,174,97,2018-06-12 12:27:21.239589,
False,100,171,97,2018-06-12 12:27:21.256273,
False,100,168,97,2018-06-12 12:27:21.272978,
False,100,165,97,2018-06-12 12:27:21.289595,
False,100,163,97,2018-06-12 12:27:21.306265,
False,100,162,97,2018-06-12 12:27:21.322938,
False,100,162,97,2018-06-12 12:27:21.339598,
False,100,163,97,2018-06-12 12:27:21.356292,
False,100,163,97,2018-06-12 12:27:21.372960,
False,100,163,97,2018-06-12 12:27:21.389601,
False,100,163,97,2018-06-12 12:27:21.406239,
False,100,163,97,2018-06-12 12:27:21.422982,
False,100,162,97,2018-06-12 12:27:21.439612,
False,100,161,97,2018-06-12 12:27:21.456298,
False,100,160,97,2018-06-12 12:27:21.472995,
False,100,158,97,2018-06-12 12:27:21.489603,
False,100,156,97,2018-06-12 12:27:21.506263,
False,100,153,97,2018-06-12 12:27:21.522944,
False,100,152,97,2018-06-12 12:27:21.539587,
False,100,150,97,2018-06-12 12:27:21.556239,
False,100,149,97,2018-06-12 12:27:21.572943,
False,100,149,97,2018-06-12 12:27:21.589600,
False,100,150,97,2018-06-12 12:27:21.606238,
False,100,152,97,2018-06-12 12:27:21.622992,
False,100,157,97,2018-06-12 12:27:21.639613,
False,100,164,97,2018-06-12 12:27:21.656257,
False,100,172,97,2018-06-12 12:27:21.672933,
False,100,181,97,2018-06-12 12:27:21.689567,
False,100,188,97,2018-06-12 12:27:21.706271,
False,100,195,97,2018-06-12 12:27:21.722955,
False,100,199,97,2018-06-12 12:27:21.739574,
False,100,200,97,2018-06-12 12:27:21.756274,
False,100,199,97,2018-06-12 12:27:21.772962,
False,100,198,97,2018-06-12 12:27:21.789566,
True,100,195,97,2018-06-12 12:27:21.806246,
True,100,191,97,2018-06-12 12:27:21.822943,
False,100,187,97,2018-06-12 12:27:21.839567,
False,100,183,97,2018-06-12 12:27:21.856248,
False,100,180,97,2018-06-12 12:27:21.872951,
False,100,177,97,2018-06-12 12:27:21.889579,
False,100,176,97,2018-06-12 12:27:21.906260,
False,100,175,97,2018-06-12 12:27:21.922944,
False,100,175,97,2018-06-12 12:27:21.939578,
False,100,174,97,2018-06-12 12:27:21.956260,
False,100,173,97,2018-06-12 12:27:21.972960,
False,100,173,97,2018-06-12 12:27:21.989572,
False,100,171,97,2018-06-12 12:27:22.006283,
False,100,169,97,2018-06-12 12:27:22.022961,
False,100,167,97,2018-06-12 12:27:22.039582,
False,100,165,97,2018-06-12 12:27:22.056265,
False,100,163,97,2018-06-12 12:27:22.072973,
False,100,161,97,2018-06-12 12:27:22.089591,
False,100,160,97,2018-06-12 12:27:22.106242,
False,100,159,97,2018-06-12 12:27:22.122958,
False,100,158,97,2018-06-12 12:27:22.139583,
False,100,158,97,2018-06-12 12:27:22.156255,
False,100,157,97,2018-06-12 12:27:22.172953,
False,100,158,97,2018-06-12 12:27:22.189580,
False,100,160,97,2018-06-12 12:27:22.206256,
False,100,165,97,2018-06-12 12:27:22.222961,
False,100,171,97,2018-06-12 12:27:22.239573,
False,100,179,97,2018-06-12 12:27:22.256238,
False,100,187,97,2018-06-12 12:27:22.272964,
False,100,196,97,2018-06-12 12:27:22.289555,
False,100,203,97,2018-06-12 12:27:22.306243,
False,100,207,97,2018-06-12 12:27:22.322972,
False,100,209,97,2018-06-12 12:27:22.339559,
False,100,209,97,2018-06-12 12:27:22.356311,
False,100,207,97,2018-06-12 12:27:22.373090,
False,100,205,97,2018-06-12 12:27:22.389640,
True,100,202,98,2018-06-12 12:27:22.406252,
True,100,199,98,2018-06-12 12:27:22.422947,
False,100,196,98,2018-06-12 12:27:22.439610,
False,100,193,98,2018-06-12 12:27:22.456280,
False,100,191,98,2018-06-12 12:27:22.472927,
False,100,189,98,2018-06-12 12:27:22.489566,
False,100,188,98,2018-06-12 12:27:22.506256,
False,100,187,98,2018-06-12 12:27:22.522898,
False,100,187,98,2018-06-12 12:27:22.539573,
False,100,186,98,2018-06-12 12:27:22.556267,
False,100,185,98,2018-06-12 12:27:22.572937,
False,100,184,98,2018-06-12 12:27:22.589613,
False,100,182,98,2018-06-12 12:27:22.606281,
False,100,179,98,2018-06-12 12:27:22.622906,
False,100,177,98,2018-06-12 12:27:22.639583,
False,100,175,98,2018-06-12 12:27:22.656226,
False,100,172,98,2018-06-12 12:27:22.672931,
